published,aggregate,count
2018-07-14T22:00:00Z,mentionCount,1763
2018-07-15T22:00:00Z,mentionCount,1332
2018-07-16T22:00:00Z,mentionCount,2791
2018-07-17T22:00:00Z,mentionCount,3156
2018-07-18T22:00:00Z,mentionCount,1903
2018-07-19T22:00:00Z,mentionCount,2258
2018-07-20T22:00:00Z,mentionCount,1644
2018-07-21T22:00:00Z,mentionCount,1542
2018-07-22T22:00:00Z,mentionCount,3020
2018-07-23T22:00:00Z,mentionCount,1739
2018-07-24T22:00:00Z,mentionCount,1431
2018-07-25T22:00:00Z,mentionCount,1526
2018-07-26T22:00:00Z,mentionCount,1676
2018-07-27T22:00:00Z,mentionCount,1138
2018-07-28T22:00:00Z,mentionCount,1166
2018-07-29T22:00:00Z,mentionCount,1677
2018-07-30T22:00:00Z,mentionCount,2092
2018-07-31T22:00:00Z,mentionCount,2762
2018-08-01T22:00:00Z,mentionCount,1864
2018-08-02T22:00:00Z,mentionCount,1233
2018-08-03T22:00:00Z,mentionCount,1127
2018-08-04T22:00:00Z,mentionCount,1042
2018-08-05T22:00:00Z,mentionCount,5813
2018-08-06T22:00:00Z,mentionCount,4028
2018-08-07T22:00:00Z,mentionCount,1829
2018-08-08T22:00:00Z,mentionCount,1247
2018-08-09T22:00:00Z,mentionCount,1177
2018-08-10T22:00:00Z,mentionCount,1024
2018-08-11T22:00:00Z,mentionCount,755
2018-08-12T22:00:00Z,mentionCount,1171
2018-08-13T22:00:00Z,mentionCount,1282
2018-08-14T22:00:00Z,mentionCount,562
2018-07-14T22:00:00Z,totalEngagement,638
2018-07-15T22:00:00Z,totalEngagement,345
2018-07-16T22:00:00Z,totalEngagement,2262
2018-07-17T22:00:00Z,totalEngagement,519
2018-07-18T22:00:00Z,totalEngagement,373
2018-07-19T22:00:00Z,totalEngagement,707
2018-07-20T22:00:00Z,totalEngagement,159
2018-07-21T22:00:00Z,totalEngagement,2735
2018-07-22T22:00:00Z,totalEngagement,455
2018-07-23T22:00:00Z,totalEngagement,239
2018-07-24T22:00:00Z,totalEngagement,355
2018-07-25T22:00:00Z,totalEngagement,628
2018-07-26T22:00:00Z,totalEngagement,310
2018-07-27T22:00:00Z,totalEngagement,168
2018-07-28T22:00:00Z,totalEngagement,509
2018-07-29T22:00:00Z,totalEngagement,1723
2018-07-30T22:00:00Z,totalEngagement,875
2018-07-31T22:00:00Z,totalEngagement,513
2018-08-01T22:00:00Z,totalEngagement,298
2018-08-02T22:00:00Z,totalEngagement,211
2018-08-03T22:00:00Z,totalEngagement,116
2018-08-04T22:00:00Z,totalEngagement,313
2018-08-05T22:00:00Z,totalEngagement,7373
2018-08-06T22:00:00Z,totalEngagement,637
2018-08-07T22:00:00Z,totalEngagement,497
2018-08-08T22:00:00Z,totalEngagement,229
2018-08-09T22:00:00Z,totalEngagement,204
2018-08-10T22:00:00Z,totalEngagement,278
2018-08-11T22:00:00Z,totalEngagement,119
2018-08-12T22:00:00Z,totalEngagement,375
2018-08-13T22:00:00Z,totalEngagement,327
2018-08-14T22:00:00Z,totalEngagement,192
